risk_id,process,risk_type,events_last_3y,total_loss_last_3y,controls_level,critical_flag,freq_annual,severity_avg,el_annual,controls_level_num,freq_annual_adj,el_annual_adj,probability_1_5,impact_1_5,risk_score,is_critical,score_norm,category
1,Reclamaciones,Operativo,4,12947297.19,Bajo,1,1.3333333333333333,3236824.25,4315765.666666666,5,1.411214953271028,4567854.782710279,4,4,16,True,0.625,medio
2,Pagos,Operativo,2,2857244.88,Bajo,0,0.6666666666666666,1428622.5,952415.0,5,0.7056074766355139,1008046.7172897196,2,2,4,False,0.125,bajo
3,Onboarding,Reputacional,4,12019115.04,Bajo,0,1.3333333333333333,3004778.75,4006371.6666666665,5,1.411214953271028,4240388.703271028,4,4,16,True,0.625,medio
4,Reclamaciones,Cumplimiento,2,6865292.92,Medio,0,0.6666666666666666,3432646.5,2288431.0,3,0.6666666666666666,2288431.0,2,4,8,False,0.2916666666666667,bajo
5,Reclamaciones,Cumplimiento,3,3693189.08,Bajo,0,1.0,1231063.0,1231063.0,5,1.058411214953271,1302970.8855140186,3,2,6,False,0.20833333333333334,bajo
6,Pagos,Operativo,5,11693036.8,Alto,0,1.6666666666666667,2338607.4,3897679.0,1,1.875,4384888.874999999,5,3,15,False,0.5833333333333334,medio
7,Onboarding,Cumplimiento,2,2065183.66,Medio,0,0.6666666666666666,1032592.0,688394.6666666666,3,0.6666666666666666,688394.6666666666,2,2,4,False,0.125,bajo
8,Onboarding,Cumplimiento,4,1425841.97,Bajo,0,1.3333333333333333,356460.5,475280.6666666666,5,1.411214953271028,503042.3878504672,4,1,4,False,0.125,bajo
9,Reclamaciones,Reputacional,3,5863603.43,Alto,0,1.0,1954534.3333333333,1954534.3333333333,1,1.1249999999999998,2198851.1249999995,3,3,9,False,0.3333333333333333,bajo
10,Credito,Reputacional,3,5635280.8,Medio,0,1.0,1878427.0,1878427.0,3,1.0,1878427.0,2,3,6,False,0.20833333333333334,bajo
11,Reclamaciones,Reputacional,2,9955708.81,Medio,0,0.6666666666666666,4977854.5,3318569.6666666665,3,0.6666666666666666,3318569.6666666665,2,5,10,False,0.375,bajo
12,Reclamaciones,Reputacional,5,11435632.6,Bajo,0,1.6666666666666667,2287126.6,3811877.666666667,5,1.764018691588785,4034534.0724299066,5,3,15,False,0.5833333333333334,medio
13,Reclamaciones,Operativo,2,3468981.58,Medio,0,0.6666666666666666,1734491.0,1156327.3333333333,3,0.6666666666666666,1156327.3333333333,2,2,4,False,0.125,bajo
14,Reclamaciones,Reputacional,3,8832982.6,Alto,1,1.0,2944327.6666666665,2944327.6666666665,1,1.1249999999999998,3312368.624999999,3,4,12,True,0.4583333333333333,medio
15,Pagos,Cumplimiento,4,2139840.92,Medio,0,1.3333333333333333,534960.25,713280.3333333333,3,1.3333333333333333,713280.3333333333,4,1,4,False,0.125,bajo
16,Onboarding,Operativo,8,38497296.85,Alto,0,2.6666666666666665,4812162.125,12832432.333333332,1,2.999999999999999,14436486.374999996,5,5,25,True,1.0,alto
17,Pagos,Cumplimiento,3,9633912.67,Medio,0,1.0,3211304.333333333,3211304.333333333,3,1.0,3211304.333333333,2,4,8,False,0.2916666666666667,bajo
18,Pagos,Cumplimiento,4,15194821.27,Bajo,0,1.3333333333333333,3798705.25,5064940.333333333,5,1.411214953271028,5360789.651869158,4,4,16,True,0.625,medio
19,Pagos,Cumplimiento,5,4676709.49,Alto,1,1.6666666666666667,935341.8,1558903.0000000002,1,1.875,1753765.8749999998,5,2,10,True,0.375,bajo
20,Reclamaciones,Reputacional,3,6319324.44,Medio,0,1.0,2106441.333333333,2106441.333333333,3,1.0,2106441.333333333,2,3,6,False,0.20833333333333334,bajo
21,Credito,Reputacional,3,6513529.97,Medio,0,1.0,2171176.6666666665,2171176.6666666665,3,1.0,2171176.6666666665,2,3,6,False,0.20833333333333334,bajo
22,Onboarding,Operativo,5,20634257.88,Medio,0,1.6666666666666667,4126851.6,6878086.0,3,1.6666666666666667,6878086.0,4,5,20,True,0.7916666666666666,alto
23,Credito,Operativo,1,106059.73,Alto,0,0.3333333333333333,106060.0,35353.33333333333,1,0.3749999999999999,39772.49999999999,1,1,1,False,0.0,bajo
24,Pagos,Reputacional,5,7870901.15,Alto,0,1.6666666666666667,1574180.2,2623633.6666666665,1,1.875,2951587.8749999995,5,2,10,False,0.375,bajo
25,Pagos,Cumplimiento,0,0.0,Alto,0,0.0,0.0,0.0,1,0.0,0.0,1,1,1,False,0.0,bajo
26,Credito,Operativo,4,9707776.25,Bajo,0,1.3333333333333333,2426944.0,3235925.333333333,5,1.411214953271028,3424939.6635514013,4,3,12,False,0.4583333333333333,medio
27,Credito,Reputacional,1,1974378.77,Bajo,0,0.3333333333333333,1974379.0,658126.3333333333,5,0.3528037383177569,696568.2920560747,1,3,3,False,0.08333333333333333,bajo
28,Credito,Reputacional,7,4810134.77,Alto,0,2.333333333333333,687162.1428571428,1603378.3333333335,1,2.625,1803800.625,5,1,5,False,0.16666666666666666,bajo
29,Pagos,Reputacional,1,4873406.68,Medio,0,0.3333333333333333,4873407.0,1624469.0,3,0.3333333333333333,1624469.0,1,5,5,False,0.16666666666666666,bajo
30,Pagos,Cumplimiento,2,396258.29,Bajo,0,0.6666666666666666,198129.0,132086.0,5,0.7056074766355139,139801.30373831774,2,1,2,False,0.041666666666666664,bajo
31,Onboarding,Reputacional,2,7424366.21,Alto,0,0.6666666666666666,3712183.0,2474788.6666666665,1,0.7499999999999998,2784137.249999999,2,4,8,False,0.2916666666666667,bajo
32,Onboarding,Reputacional,2,7732278.09,Medio,0,0.6666666666666666,3866139.0,2577426.0,3,0.6666666666666666,2577426.0,2,4,8,False,0.2916666666666667,bajo
33,Pagos,Reputacional,0,0.0,Bajo,0,0.0,0.0,0.0,5,0.0,0.0,1,1,1,False,0.0,bajo
34,Credito,Reputacional,3,10171909.12,Medio,0,1.0,3390636.333333333,3390636.333333333,3,1.0,3390636.333333333,2,4,8,False,0.2916666666666667,bajo
35,Credito,Operativo,1,555352.81,Medio,0,0.3333333333333333,555353.0,185117.66666666663,3,0.3333333333333333,185117.66666666663,1,1,1,False,0.0,bajo
36,Onboarding,Operativo,4,5438126.42,Medio,0,1.3333333333333333,1359531.5,1812708.6666666665,3,1.3333333333333333,1812708.6666666665,4,2,8,False,0.2916666666666667,bajo
37,Pagos,Reputacional,3,11882159.23,Medio,1,1.0,3960719.6666666665,3960719.6666666665,3,1.0,3960719.6666666665,2,5,10,True,0.375,bajo
38,Onboarding,Cumplimiento,5,21684811.7,Bajo,0,1.6666666666666667,4336962.4,7228270.666666668,5,1.764018691588785,7650482.738317758,5,5,25,True,1.0,alto
39,Onboarding,Operativo,2,6163166.84,Bajo,0,0.6666666666666666,3081583.5,2054389.0,5,0.7056074766355139,2174388.3574766354,2,4,8,False,0.2916666666666667,bajo
40,Reclamaciones,Reputacional,0,0.0,Bajo,0,0.0,0.0,0.0,5,0.0,0.0,1,1,1,False,0.0,bajo
41,Reclamaciones,Operativo,1,880589.7,Alto,0,0.3333333333333333,880590.0,293530.0,1,0.3749999999999999,330221.2499999999,1,2,2,False,0.041666666666666664,bajo
